epoch,accuracy,loss,val_accuracy,val_loss
0,0.5352649092674255,0.7424060106277466,0.5211285352706909,1.0589336156845093
1,0.5448499917984009,0.6944561004638672,0.482540488243103,1.0861667394638062
2,0.5485341548919678,0.6784771084785461,0.49051111936569214,1.1755653619766235
3,0.5510942935943604,0.6630944609642029,0.47520244121551514,1.2677743434906006
4,0.554310142993927,0.6553470492362976,0.4778593182563782,1.4047645330429077
5,0.5580567717552185,0.6451258659362793,0.49443319439888,1.3502552509307861
6,0.5628336668014526,0.6400773525238037,0.4767206609249115,1.3062466382980347
7,0.559274435043335,0.6404849886894226,0.4771001935005188,1.4481909275054932
8,0.5626463294029236,0.6328057050704956,0.48975202441215515,1.4715564250946045
9,0.564582109451294,0.6246004104614258,0.47558197379112244,1.4740526676177979
10,0.5670173764228821,0.6232287287712097,0.48873987793922424,1.4691901206970215
11,0.5657997727394104,0.6244799494743347,0.49418017268180847,1.5438661575317383
12,0.5681101679801941,0.6157581806182861,0.4900050461292267,1.5083661079406738
13,0.5672047138214111,0.6241660714149475,0.4926619529724121,1.5957598686218262
14,0.5716693997383118,0.6125891208648682,0.49493926763534546,1.7020217180252075
15,0.5684223771095276,0.6172859072685242,0.48557692766189575,1.5432711839675903
16,0.5713571906089783,0.6144964098930359,0.4926619529724121,1.698793649673462
17,0.5743857026100159,0.6129884123802185,0.49873483180999756,1.7077988386154175
18,0.5718879699707031,0.6072655916213989,0.4882338047027588,1.6961911916732788
19,0.5727934241294861,0.6112899780273438,0.5008856058120728,1.7836809158325195
20,0.5736051797866821,0.6072400212287903,0.4910171926021576,1.7761447429656982
