Timestamp,RawValue
2025-06-09 17:43:52.534,-350
2025-06-09 17:43:52.534,-1531
2025-06-09 17:43:52.534,-2048
2025-06-09 17:43:52.534,-2048
2025-06-09 17:43:52.534,-877
2025-06-09 17:43:52.534,-952
2025-06-09 17:43:52.534,-115
2025-06-09 17:43:52.534,2047
2025-06-09 17:43:52.534,2012
2025-06-09 17:43:52.534,169
2025-06-09 17:43:52.534,476
2025-06-09 17:43:52.534,790
2025-06-09 17:43:52.534,-1027
2025-06-09 17:43:52.534,-546
2025-06-09 17:43:52.534,1221
2025-06-09 17:43:52.534,594
2025-06-09 17:43:52.534,-532
2025-06-09 17:43:52.534,1096
2025-06-09 17:43:52.534,1080
2025-06-09 17:43:52.534,-946
2025-06-09 17:43:52.534,-908
2025-06-09 17:43:52.534,261
2025-06-09 17:43:52.534,-1186
2025-06-09 17:43:52.534,-1694
2025-06-09 17:43:52.534,202
2025-06-09 17:43:52.534,612
2025-06-09 17:43:52.534,-534
2025-06-09 17:43:52.534,836
2025-06-09 17:43:52.534,1986
2025-06-09 17:43:52.534,163
2025-06-09 17:43:52.534,-626
2025-06-09 17:43:52.534,538
2025-06-09 17:43:52.534,-339
2025-06-09 17:43:52.534,-1873
2025-06-09 17:43:52.534,-521
2025-06-09 17:43:52.534,520
2025-06-09 17:43:52.534,-571
2025-06-09 17:43:52.534,-73
2025-06-09 17:43:52.534,1872
2025-06-09 17:43:52.534,749
2025-06-09 17:43:52.534,-626
2025-06-09 17:43:52.534,292
2025-06-09 17:43:52.534,358
2025-06-09 17:43:52.534,-1638
2025-06-09 17:43:52.534,-1107
2025-06-09 17:43:52.534,324
2025-06-09 17:43:52.534,-428
2025-06-09 17:43:52.534,-898
2025-06-09 17:43:52.534,1222
2025-06-09 17:43:52.534,1123
2025-06-09 17:43:52.534,-518
2025-06-09 17:43:52.534,-39
2025-06-09 17:43:52.534,912
2025-06-09 17:43:52.534,-891
2025-06-09 17:43:52.534,-1367
2025-06-09 17:43:52.550,113
2025-06-09 17:43:52.550,-132
2025-06-09 17:43:52.550,-1310
2025-06-09 17:43:52.550,339
2025-06-09 17:43:52.550,1325
2025-06-09 17:43:52.550,-212
2025-06-09 17:43:52.550,-355
2025-06-09 17:43:52.550,980
2025-06-09 17:43:52.550,-162
2025-06-09 17:43:52.550,-1500
2025-06-09 17:43:52.550,-219
2025-06-09 17:43:52.565,203
2025-06-09 17:43:52.565,-1164
2025-06-09 17:43:52.565,-396
2025-06-09 17:43:52.565,1340
2025-06-09 17:43:52.565,208
2025-06-09 17:43:52.565,-580
2025-06-09 17:43:52.565,726
2025-06-09 17:43:52.565,547
2025-06-09 17:43:52.581,-1362
2025-06-09 17:43:52.581,-694
2025-06-09 17:43:52.581,336
2025-06-09 17:43:52.581,-697
2025-06-09 17:43:52.581,-780
2025-06-09 17:43:52.581,1372
2025-06-09 17:43:52.581,970
2025-06-09 17:43:52.581,-430
2025-06-09 17:43:52.581,320
2025-06-09 17:43:52.581,906
2025-06-09 17:43:52.581,-1146
2025-06-09 17:43:52.581,-1316
2025-06-09 17:43:52.581,74
2025-06-09 17:43:52.597,-387
2025-06-09 17:43:52.597,-1214
2025-06-09 17:43:52.597,780
2025-06-09 17:43:52.597,1348
2025-06-09 17:43:52.597,-268
2025-06-09 17:43:52.597,-146
2025-06-09 17:43:52.597,1040
2025-06-09 17:43:52.597,-520
2025-06-09 17:43:52.597,-1531
2025-06-09 17:43:52.597,-166
2025-06-09 17:43:52.597,39
2025-06-09 17:43:52.597,-1172
2025-06-09 17:43:52.597,133
2025-06-09 17:43:52.612,1587
2025-06-09 17:43:52.612,164
2025-06-09 17:43:52.612,-436
2025-06-09 17:43:52.612,837
2025-06-09 17:43:52.612,120
2025-06-09 17:43:52.612,-1609
2025-06-09 17:43:52.628,-728
2025-06-09 17:43:52.628,44
2025-06-09 17:43:52.628,-1094
2025-06-09 17:43:52.628,-662
2025-06-09 17:43:52.644,1462
2025-06-09 17:43:52.644,736
2025-06-09 17:43:52.644,-422
2025-06-09 17:43:52.644,561
2025-06-09 17:43:52.644,753
2025-06-09 17:43:52.644,-1332
2025-06-09 17:43:52.644,-1111
2025-06-09 17:43:52.644,137
2025-06-09 17:43:52.644,-558
2025-06-09 17:43:52.644,-1002
2025-06-09 17:43:52.644,1184
2025-06-09 17:43:52.644,1332
2025-06-09 17:43:52.644,-210
2025-06-09 17:43:52.659,188
2025-06-09 17:43:52.659,1076
2025-06-09 17:43:52.659,-821
2025-06-09 17:43:52.659,-1428
2025-06-09 17:43:52.659,-27
2025-06-09 17:43:52.659,-73
2025-06-09 17:43:52.659,-1070
2025-06-09 17:43:52.659,680
2025-06-09 17:43:52.675,1777
2025-06-09 17:43:52.691,192
2025-06-09 17:43:52.691,-132
2025-06-09 17:43:52.691,1079
2025-06-09 17:43:52.691,-139
2025-06-09 17:43:52.691,-1570
2025-06-09 17:43:52.691,-414
2025-06-09 17:43:52.691,199
2025-06-09 17:43:52.706,-931
2025-06-09 17:43:52.706,16
2025-06-09 17:43:52.706,1926
2025-06-09 17:43:52.706,776
2025-06-09 17:43:52.706,-267
2025-06-09 17:43:52.706,758
2025-06-09 17:43:52.706,449
2025-06-09 17:43:52.706,-1518
2025-06-09 17:43:52.706,-922
2025-06-09 17:43:52.706,215
2025-06-09 17:43:52.706,-650
2025-06-09 17:43:52.706,-667
2025-06-09 17:43:52.706,1608
2025-06-09 17:43:52.721,1323
2025-06-09 17:43:52.721,-157
2025-06-09 17:43:52.721,426
2025-06-09 17:43:52.721,981
2025-06-09 17:43:52.721,-1081
2025-06-09 17:43:52.721,-1297
2025-06-09 17:43:52.738,70
2025-06-09 17:43:52.754,-294
2025-06-09 17:43:52.754,-1042
2025-06-09 17:43:52.754,1047
2025-06-09 17:43:52.754,1762
2025-06-09 17:43:52.754,136
2025-06-09 17:43:52.754,98
2025-06-09 17:43:52.754,1173
2025-06-09 17:43:52.754,-429
2025-06-09 17:43:52.754,-1527
2025-06-09 17:43:52.754,-242
2025-06-09 17:43:52.754,64
2025-06-09 17:43:52.754,-1058
2025-06-09 17:43:52.754,298
2025-06-09 17:43:52.769,1907
2025-06-09 17:43:52.769,532
2025-06-09 17:43:52.769,-186
2025-06-09 17:43:52.769,986
2025-06-09 17:43:52.769,240
2025-06-09 17:43:52.769,-1574
2025-06-09 17:43:52.784,-772
2025-06-09 17:43:52.784,-337
2025-06-09 17:43:52.784,1827
2025-06-09 17:43:52.784,1065
2025-06-09 17:43:52.784,-268
2025-06-09 17:43:52.784,583
2025-06-09 17:43:52.784,728
2025-06-09 17:43:52.799,-1451
2025-06-09 17:43:52.799,-1265
2025-06-09 17:43:52.799,88
2025-06-09 17:43:52.799,-445
2025-06-09 17:43:52.799,-849
2025-06-09 17:43:52.799,1428
2025-06-09 17:43:52.799,1622
2025-06-09 17:43:52.799,-73
2025-06-09 17:43:52.799,177
2025-06-09 17:43:52.799,1064
2025-06-09 17:43:52.799,-892
2025-06-09 17:43:52.799,-1550
2025-06-09 17:43:52.799,-158
2025-06-09 17:43:52.816,-41
2025-06-09 17:43:52.816,-981
2025-06-09 17:43:52.816,787
2025-06-09 17:43:52.816,1948
2025-06-09 17:43:52.816,310
2025-06-09 17:43:52.816,-110
2025-06-09 17:43:52.816,1114
2025-06-09 17:43:52.816,-85
2025-06-09 17:43:52.816,-1603
2025-06-09 17:43:52.831,-465
2025-06-09 17:43:52.831,273
2025-06-09 17:43:52.831,-812
2025-06-09 17:43:52.831,70
2025-06-09 17:43:52.831,2028
2025-06-09 17:43:52.831,925
2025-06-09 17:43:52.831,-138
2025-06-09 17:43:52.847,955
2025-06-09 17:43:52.847,701
2025-06-09 17:43:52.847,-1443
2025-06-09 17:43:52.847,-917
2025-06-09 17:43:52.847,306
2025-06-09 17:43:52.847,-506
2025-06-09 17:43:52.847,-570
2025-06-09 17:43:52.847,1684
2025-06-09 17:43:52.862,1361
2025-06-09 17:43:52.862,-222
2025-06-09 17:43:52.862,358
2025-06-09 17:43:52.862,999
2025-06-09 17:43:52.862,-1102
2025-06-09 17:43:52.862,-1384
2025-06-09 17:43:52.862,84
2025-06-09 17:43:52.862,-140
2025-06-09 17:43:52.862,-950
2025-06-09 17:43:52.862,1033
2025-06-09 17:43:52.862,1717
2025-06-09 17:43:52.894,12
2025-06-09 17:43:52.894,-37
2025-06-09 17:43:52.909,1160
2025-06-09 17:43:52.909,-369
2025-06-09 17:43:52.909,-1549
2025-06-09 17:43:52.909,-232
2025-06-09 17:43:52.909,161
2025-06-09 17:43:52.909,-982
2025-06-09 17:43:52.909,291
2025-06-09 17:43:52.909,1879
2025-06-09 17:43:52.909,443
2025-06-09 17:43:52.909,-338
2025-06-09 17:43:52.909,871
2025-06-09 17:43:52.909,217
2025-06-09 17:43:52.909,-1594
2025-06-09 17:43:52.924,-690
2025-06-09 17:43:52.924,368
2025-06-09 17:43:52.924,-621
2025-06-09 17:43:52.924,-275
2025-06-09 17:43:52.924,1872
2025-06-09 17:43:52.924,1078
2025-06-09 17:43:52.924,-358
2025-06-09 17:43:52.924,472
2025-06-09 17:43:52.924,772
2025-06-09 17:43:52.940,-1309
2025-06-09 17:43:52.940,-1142
2025-06-09 17:43:52.940,268
2025-06-09 17:43:52.940,-269
2025-06-09 17:43:52.940,-814
2025-06-09 17:43:52.940,1353
2025-06-09 17:43:52.940,1590
2025-06-09 17:43:52.940,-51
2025-06-09 17:43:52.940,218
2025-06-09 17:43:52.940,1213
2025-06-09 17:43:52.940,-578
2025-06-09 17:43:52.940,-1354
2025-06-09 17:43:52.940,68
2025-06-09 17:43:52.956,73
2025-06-09 17:43:52.956,-1029
2025-06-09 17:43:52.956,632
2025-06-09 17:43:52.956,1866
2025-06-09 17:43:52.956,308
2025-06-09 17:43:52.956,-151
2025-06-09 17:43:52.956,1058
2025-06-09 17:43:52.956,-20
2025-06-09 17:43:52.956,-1555
2025-06-09 17:43:52.956,-396
2025-06-09 17:43:52.956,317
2025-06-09 17:43:52.956,-824
2025-06-09 17:43:52.956,-26
2025-06-09 17:43:52.971,1942
2025-06-09 17:43:52.987,867
2025-06-09 17:43:52.987,-243
2025-06-09 17:43:52.987,802
2025-06-09 17:43:52.987,657
2025-06-09 17:43:52.987,-1369
2025-06-09 17:43:52.987,-805
2025-06-09 17:43:52.987,439
2025-06-09 17:43:52.987,-427
2025-06-09 17:43:52.987,-666
2025-06-09 17:43:53.003,1512
2025-06-09 17:43:53.003,1237
2025-06-09 17:43:53.003,-329
2025-06-09 17:43:53.003,237
2025-06-09 17:43:53.003,923
2025-06-09 17:43:53.003,-1145
2025-06-09 17:43:53.003,-1476
2025-06-09 17:43:53.003,-23
2025-06-09 17:43:53.003,-234
2025-06-09 17:43:53.018,-1107
2025-06-09 17:43:53.018,840
2025-06-09 17:43:53.018,1590
2025-06-09 17:43:53.018,-118
2025-06-09 17:43:53.018,-269
2025-06-09 17:43:53.018,887
2025-06-09 17:43:53.018,-621
2025-06-09 17:43:53.018,-1735
2025-06-09 17:43:53.066,-565
2025-06-09 17:43:53.066,-156
2025-06-09 17:43:53.066,-1285
2025-06-09 17:43:53.066,-39
2025-06-09 17:43:53.066,1654
2025-06-09 17:43:53.066,275
2025-06-09 17:43:53.081,-564
2025-06-09 17:43:53.081,604
2025-06-09 17:43:53.081,-62
2025-06-09 17:43:53.081,-1789
2025-06-09 17:43:53.081,-1191
2025-06-09 17:43:53.081,-245
2025-06-09 17:43:53.081,-1147
2025-06-09 17:43:53.081,-739
2025-06-09 17:43:53.081,1549
2025-06-09 17:43:53.096,892
2025-06-09 17:43:53.096,-562
2025-06-09 17:43:53.096,179
2025-06-09 17:43:53.096,345
2025-06-09 17:43:53.096,-1699
2025-06-09 17:43:53.096,-1548
2025-06-09 17:43:53.096,-485
2025-06-09 17:43:53.096,-857
2025-06-09 17:43:53.096,-1154
2025-06-09 17:43:53.096,1115
2025-06-09 17:43:53.096,1467
2025-06-09 17:43:53.096,-279
2025-06-09 17:43:53.096,-165
2025-06-09 17:43:53.112,691
2025-06-09 17:43:53.112,-1299
2025-06-09 17:43:53.112,-1639
2025-06-09 17:43:53.112,-803
2025-06-09 17:43:53.112,-606
2025-06-09 17:43:53.112,-1259
2025-06-09 17:43:53.112,394
2025-06-09 17:43:53.112,1770
2025-06-09 17:43:53.112,102
2025-06-09 17:43:53.112,-522
2025-06-09 17:43:53.112,537
2025-06-09 17:43:53.112,-780
2025-06-09 17:43:53.112,-1619
2025-06-09 17:43:53.128,-1101
2025-06-09 17:43:53.128,-481
2025-06-09 17:43:53.128,-1156
2025-06-09 17:43:53.128,-290
2025-06-09 17:43:53.128,1882
2025-06-09 17:43:53.128,826
2025-06-09 17:43:53.128,-424
2025-06-09 17:43:53.128,509
2025-06-09 17:43:53.144,241
2025-06-09 17:43:53.144,-1474
2025-06-09 17:43:53.144,-1162
2025-06-09 17:43:53.144,-179
2025-06-09 17:43:53.144,-708
2025-06-09 17:43:53.144,-631
2025-06-09 17:43:53.144,1748
2025-06-09 17:43:53.144,1577
2025-06-09 17:43:53.144,-115
2025-06-09 17:43:53.144,333
2025-06-09 17:43:53.144,981
2025-06-09 17:43:53.144,-1128
2025-06-09 17:43:53.144,-1254
