epoch,accuracy,loss,val_accuracy,val_loss
0,0.539635956287384,0.7439516186714172,0.4927884638309479,1.0480473041534424
1,0.5441943407058716,0.7156607508659363,0.47419029474258423,1.1406822204589844
2,0.549626886844635,0.6804842352867126,0.4934210479259491,1.0591920614242554
3,0.5531237125396729,0.679286777973175,0.5001265406608582,1.136193037033081
4,0.5571200847625732,0.65645432472229,0.4867155849933624,1.155232548713684
5,0.5613662600517273,0.6485756039619446,0.5194838047027588,1.1746718883514404
6,0.5623653531074524,0.6455039381980896,0.48899292945861816,1.2958658933639526
7,0.5676418542861938,0.6360854506492615,0.5059463381767273,1.158758521080017
8,0.5674856901168823,0.6273422241210938,0.5012651681900024,1.207890510559082
9,0.569171667098999,0.6302811503410339,0.48317307233810425,1.2513868808746338
10,0.5666115283966064,0.6234534382820129,0.4784919023513794,1.234155297279358
11,0.5685784816741943,0.6305974721908569,0.4872216582298279,1.256012201309204
12,0.5675481557846069,0.6219363808631897,0.48633602261543274,1.3015263080596924
13,0.5690780282020569,0.6166476011276245,0.48178136348724365,1.207221508026123
14,0.5701707601547241,0.6120802760124207,0.48545041680336,1.3270156383514404
15,0.5700458884239197,0.6136643290519714,0.46875,1.2151033878326416
16,0.5691092610359192,0.6095567941665649,0.4808957576751709,1.2776808738708496
17,0.5712947845458984,0.6113053560256958,0.48519736528396606,1.422950267791748
18,0.5718879699707031,0.602382242679596,0.436740905046463,1.3427447080612183
19,0.576664924621582,0.6027485132217407,0.4857034385204315,1.285473108291626
20,0.5757594704627991,0.6006026864051819,0.48329958319664,1.4986155033111572
21,0.5756970047950745,0.5975812077522278,0.4777328073978424,1.4559967517852783
22,0.5740734934806824,0.5949079394340515,0.4916498064994812,1.374024748802185
23,0.5793811678886414,0.5961581468582153,0.4795040488243103,1.4059487581253052
24,0.5797870755195618,0.5945187211036682,0.5012651681900024,1.3614206314086914
25,0.5793811678886414,0.5912345051765442,0.4951923191547394,1.476951003074646
