,precision,recall,f1-score,support
Wake,0.9508766626360339,0.945872801082544,0.9483681314539836,6651.0
N1,58.4242198581560284,0.6138798323241733,0.5986827163297752,2147.0
N2,0.8729083114368691,0.8834149755073478,0.8781302170283807,7145.0
N3,0.8604282315622522,0.8103061986557132,0.8346153846153846,1339.0
REM,0.8698296836982968,0.8418367346938775,0.8556043079377742,2548.0
accuracy,0.8649016641452345,0.8649016641452345,0.8649016641452345,0.8649016641452345
macro avg,0.827652549497896,0.8190621084527312,0.8230801514730597,19830.0
weighted avg,0.866564298537307,0.8649016641452345,0.86559951646766,19830.0
