epoch,accuracy,loss,lr,val_accuracy,val_loss
0,0.5544740557670593,0.7065211534500122,0.001,0.40716612339019775,0.9469314217567444
1,0.5629245042800903,0.6743960976600647,0.001,0.414307177066803,0.9274907112121582
2,0.5647710561752319,0.6625763177871704,0.001,0.4243297278881073,0.9018065333366394
3,0.5626428127288818,0.6553935408592224,0.001,0.4475069046020508,0.8992113471031189
4,0.5664924383163452,0.6456655263900757,0.001,0.44337257742881775,0.855415403842926
5,0.5700604319572449,0.6420106291770935,0.001,0.4412427842617035,0.8545132279396057
6,0.5727207064628601,0.6354436874389648,0.001,0.45151591300964355,0.865569531917572
7,0.5742230415344238,0.6299852132797241,0.001,0.4401152729988098,0.8658876419067383
8,0.5752871632575989,0.625870943069458,0.001,0.45251816511154175,0.834650993347168
9,0.5764451622962952,0.6233479976654053,0.001,0.4343522787094116,0.9104493856430054
10,0.5759757161140442,0.6212825179100037,0.001,0.43798547983169556,0.8583149909973145
11,0.5772276520729065,0.6161623597145081,0.001,0.44337257742881775,0.846744179725647
12,0.5776032209396362,0.6135512590408325,0.001,0.44287145137786865,0.8501383066177368
13,0.5794497728347778,0.6084370017051697,0.001,0.43948885798454285,0.8665520548820496
14,0.5837063193321228,0.5981972813606262,0.0005,0.42733651399612427,0.8234948515892029
15,0.5858971476554871,0.5942251086235046,0.0005,0.4343522787094116,0.8397335410118103
16,0.5878689289093018,0.5898947715759277,0.0005,0.43284890055656433,0.8102179169654846
17,0.5864918231964111,0.5886788368225098,0.0005,0.45063894987106323,0.8413006067276001
18,0.5868360996246338,0.586600661277771,0.0005,0.43360060453414917,0.8413628935813904
19,0.5905918478965759,0.5801675319671631,0.00025,0.44437482953071594,0.8187377452850342
20,0.5909361243247986,0.5790542960166931,0.00025,0.42783764004707336,0.8627747893333435
21,0.5920628309249878,0.5779829621315002,0.00025,0.42407917976379395,0.846622884273529
22,0.5913429856300354,0.5767557621002197,0.00025,0.43034327030181885,0.8590180277824402
23,0.591655969619751,0.5747290253639221,0.00025,0.42169880867004395,0.9022259712219238
24,0.5935651659965515,0.5726189017295837,0.000125,0.42846405506134033,0.8602226972579956
25,0.5949109792709351,0.5722952485084534,0.000125,0.4294663071632385,0.8245226740837097
26,0.5944727659225464,0.5713930130004883,0.000125,0.4272112250328064,0.8476030230522156
27,0.5949109792709351,0.5702418088912964,0.000125,0.42846405506134033,0.8505328893661499
28,0.5947231650352478,0.5698052048683167,0.000125,0.42783764004707336,0.8469151258468628
